CAMPUSID,CAMPUSNAME,PROVIDERID,ProviderName,ADDRESSSTREET,ADDRESSSTATE,StateId,ADDRESSCITY,CityId,ADDRESSPOSTCODE,CAMPUSNEARESTCITY,CountryCode,ADDRESSCOUNTRYCODE,ONCAMPUSACCOMMODATION,URLCAMPUSINFO,CAMPUSNOTE,ADDRESSGEOCODE,PROVIDERCRICOSCODE
SN_L_0367,,0,,,,,,,,,,,,,,,
SN_L_0368,,0,,,,,,,,,,,,,,,
SN_L_0369,,0,,,,,,,,,,,,,,,
SN_L_0370,,0,,,,,,,,,,,,,,,
SN_L_0371,,0,,,,,,,,,,,,,,,
SN_L_0372,,0,,,,,,,,,,,,,,,
SN_L_0373,,0,,,,,,,,,,,,,,,
SN_L_0374,,0,,,,,,,,,,,,,,,
SN_L_0375,,0,,,,,,,,,,,,,,,
SN_L_0376,,0,,,,,,,,,,,,,,,
SN_L_0377,,0,,,,,,,,,,,,,,,
SN_L_0378,,0,,,,,,,,,,,,,,,
SN_L_0379,,0,,,,,,,,,,,,,,,
SN_L_0380,,0,,,,,,,,,,,,,,,
SN_L_0381,,0,,,,,,,,,,,,,,,
SN_L_0382,,0,,,,,,,,,,,,,,,
SN_L_0383,,0,,,,,,,,,,,,,,,
SN_L_0384,,0,,,,,,,,,,,,,,,
SN_L_0385,,0,,,,,,,,,,,,,,,
SN_L_0386,,0,,,,,,,,,,,,,,,
SN_L_0387,,0,,,,,,,,,,,,,,,
SN_L_0388,,0,,,,,,,,,,,,,,,
SN_L_0389,,0,,,,,,,,,,,,,,,
SN_L_0390,,0,,,,,,,,,,,,,,,
SN_L_0391,,0,,,,,,,,,,,,,,,
SN_L_0392,,0,,,,,,,,,,,,,,,
SN_L_0393,,0,,,,,,,,,,,,,,,
SN_L_0394,,0,,,,,,,,,,,,,,,
SN_L_0395,,0,,,,,,,,,,,,,,,
SN_L_0396,,0,,,,,,,,,,,,,,,
SN_L_0397,,0,,,,,,,,,,,,,,,
SN_L_0398,,0,,,,,,,,,,,,,,,
SN_L_0399,,0,,,,,,,,,,,,,,,
SN_L_0400,,0,,,,,,,,,,,,,,,
SN_L_0401,,0,,,,,,,,,,,,,,,
SN_L_0402,,0,,,,,,,,,,,,,,,
SN_L_0403,,0,,,,,,,,,,,,,,,
SN_L_0404,,0,,,,,,,,,,,,,,,
SN_L_0405,,0,,,,,,,,,,,,,,,
SN_L_0406,,0,,,,,,,,,,,,,,,
SN_L_0407,,0,,,,,,,,,,,,,,,
SN_L_0408,,0,,,,,,,,,,,,,,,
SN_L_0409,,0,,,,,,,,,,,,,,,
SN_L_0410,,0,,,,,,,,,,,,,,,
SN_L_0411,,0,,,,,,,,,,,,,,,
SN_L_0412,,0,,,,,,,,,,,,,,,
SN_L_0413,,0,,,,,,,,,,,,,,,
SN_L_0414,,0,,,,,,,,,,,,,,,
SN_L_0415,,0,,,,,,,,,,,,,,,
SN_L_0416,,0,,,,,,,,,,,,,,,
SN_L_0417,,0,,,,,,,,,,,,,,,
SN_L_0418,,0,,,,,,,,,,,,,,,
SN_L_0419,,0,,,,,,,,,,,,,,,
SN_L_0420,,0,,,,,,,,,,,,,,,
SN_L_0421,,0,,,,,,,,,,,,,,,
SN_L_0422,,0,,,,,,,,,,,,,,,
SN_L_0423,,0,,,,,,,,,,,,,,,
SN_L_0424,,0,,,,,,,,,,,,,,,
SN_L_0425,,0,,,,,,,,,,,,,,,
SN_L_0426,,0,,,,,,,,,,,,,,,
SN_L_0427,,0,,,,,,,,,,,,,,,
SN_L_0428,,0,,,,,,,,,,,,,,,
SN_L_0429,,0,,,,,,,,,,,,,,,
SN_L_0430,,0,,,,,,,,,,,,,,,
SN_L_0431,,0,,,,,,,,,,,,,,,
SN_L_0432,,0,,,,,,,,,,,,,,,
SN_L_0433,,0,,,,,,,,,,,,,,,
SN_L_0434,,0,,,,,,,,,,,,,,,
SN_L_0435,,0,,,,,,,,,,,,,,,
SN_L_0436,,0,,,,,,,,,,,,,,,
SN_L_0437,,0,,,,,,,,,,,,,,,
SN_L_0438,,0,,,,,,,,,,,,,,,
SN_L_0439,,0,,,,,,,,,,,,,,,
SN_L_0440,,0,,,,,,,,,,,,,,,
SN_L_0441,,0,,,,,,,,,,,,,,,
SN_L_0442,,0,,,,,,,,,,,,,,,
SN_L_0443,,0,,,,,,,,,,,,,,,
SN_L_0444,,0,,,,,,,,,,,,,,,
SN_L_0445,,0,,,,,,,,,,,,,,,
SN_L_0446,,0,,,,,,,,,,,,,,,
SN_L_0447,,0,,,,,,,,,,,,,,,
SN_L_0448,,0,,,,,,,,,,,,,,,
SN_L_0449,,0,,,,,,,,,,,,,,,
SN_L_0450,,0,,,,,,,,,,,,,,,
SN_L_0451,,0,,,,,,,,,,,,,,,
SN_L_0452,,0,,,,,,,,,,,,,,,
SN_L_0453,,0,,,,,,,,,,,,,,,
SN_L_0454,,0,,,,,,,,,,,,,,,
SN_L_0455,,0,,,,,,,,,,,,,,,
SN_L_0456,,0,,,,,,,,,,,,,,,
SN_L_0457,,0,,,,,,,,,,,,,,,
SN_L_0458,,0,,,,,,,,,,,,,,,
SN_L_0459,,0,,,,,,,,,,,,,,,
SN_L_0460,,0,,,,,,,,,,,,,,,
SN_L_0461,,0,,,,,,,,,,,,,,,
SN_L_0462,,0,,,,,,,,,,,,,,,
SN_L_0463,,0,,,,,,,,,,,,,,,
SN_L_0464,,0,,,,,,,,,,,,,,,
SN_L_0465,,0,,,,,,,,,,,,,,,
SN_L_0466,,0,,,,,,,,,,,,,,,
SN_L_0467,,0,,,,,,,,,,,,,,,
SN_L_0468,,0,,,,,,,,,,,,,,,
SN_L_0469,,0,,,,,,,,,,,,,,,
SN_L_0470,,0,,,,,,,,,,,,,,,
SN_L_0471,,0,,,,,,,,,,,,,,,
SN_L_0472,,0,,,,,,,,,,,,,,,
SN_L_0473,,0,,,,,,,,,,,,,,,
SN_L_0474,,0,,,,,,,,,,,,,,,
SN_L_0475,,0,,,,,,,,,,,,,,,
SN_L_0476,,0,,,,,,,,,,,,,,,
SN_L_0477,,0,,,,,,,,,,,,,,,
SN_L_0478,,0,,,,,,,,,,,,,,,
SN_L_0479,,0,,,,,,,,,,,,,,,
SN_L_0480,,0,,,,,,,,,,,,,,,
SN_L_0481,,0,,,,,,,,,,,,,,,
SN_L_0482,,0,,,,,,,,,,,,,,,
SN_L_0483,,0,,,,,,,,,,,,,,,
SN_L_0484,,0,,,,,,,,,,,,,,,
SN_L_0485,,0,,,,,,,,,,,,,,,
SN_L_0486,,0,,,,,,,,,,,,,,,
SN_L_0487,,0,,,,,,,,,,,,,,,
SN_L_0488,,0,,,,,,,,,,,,,,,
SN_L_0489,,0,,,,,,,,,,,,,,,
SN_L_0490,,0,,,,,,,,,,,,,,,
SN_L_0491,,0,,,,,,,,,,,,,,,
SN_L_0492,,0,,,,,,,,,,,,,,,
SN_L_0493,,0,,,,,,,,,,,,,,,
SN_L_0494,,0,,,,,,,,,,,,,,,
SN_L_0495,,0,,,,,,,,,,,,,,,
SN_L_0496,,0,,,,,,,,,,,,,,,
SN_L_0497,,0,,,,,,,,,,,,,,,
SN_L_0498,,0,,,,,,,,,,,,,,,
SN_L_0499,,0,,,,,,,,,,,,,,,
